book_id,author_id,book_genre,user_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
2140,351,9,25342,361,6,48,2021,108,3
1839,268,9,29205,262,9,2,2004,189,2
2385,35,4,21723,629,4,36,2012,73,5
666,177,1,13859,340,5,34,2016,7,7
179,358,9,12649,223,1,5,2000,187,4
656,327,6,4810,352,9,16,2007,1,5
2053,444,7,25946,225,8,35,2016,140,6
2433,14,9,17201,330,10,12,2020,151,5
703,437,6,5847,82,2,29,2006,199,5
132,182,7,19210,461,3,39,2002,46,7
44,239,5,25826,635,10,23,2018,197,7
2400,407,1,443,275,1,15,2016,115,7
1201,72,10,4272,353,10,22,2002,11,2
1850,445,1,12320,445,10,22,2002,135,1
49,281,2,23785,570,7,34,2012,143,6
145,3,4,27128,602,2,2,2013,36,2
2260,119,6,22320,178,9,1,2014,124,2
1655,285,10,7324,179,4,23,2003,14,7
1558,102,9,16894,314,6,50,2008,125,7
1811,99,4,12484,595,10,41,2006,69,3
2735,32,3,14117,331,10,23,2017,192,7
838,303,8,6497,157,3,11,2014,110,6
920,54,1,2865,145,1,49,2009,83,1
887,307,10,27212,295,7,2,2020,132,7
511,47,7,24794,528,7,43,2006,117,4
976,295,3,16426,442,4,36,2014,56,2
2342,431,10,19920,459,7,7,2021,108,6
263,248,7,2769,102,4,22,2010,63,3
2822,356,5,19661,160,3,4,2000,147,5
1737,425,9,25657,171,6,20,2011,33,1
1995,354,7,18714,217,5,28,2011,47,2
352,52,9,12281,184,8,41,2015,148,3
2185,424,10,27356,277,3,32,2018,108,7
810,255,1,11710,486,6,48,2016,178,6
434,39,8,13782,297,4,13,2009,66,1
2774,441,8,3761,470,5,9,2002,128,4
364,326,8,23497,243,7,46,2015,185,3
1375,177,4,13344,108,10,4,2013,125,3
666,307,8,24458,548,2,39,2003,199,4
722,271,1,499,352,10,44,2014,151,1
2503,449,3,29472,637,8,15,2002,57,6
1604,310,4,18692,192,5,45,2003,11,7
2650,59,7,5240,625,8,36,2017,102,6
2745,386,7,20409,531,7,19,2011,191,1
360,89,9,27782,588,5,20,2005,99,5
883,299,5,17722,425,10,31,2003,48,7
180,83,5,5101,261,8,10,2012,10,7
2319,198,3,12288,279,4,50,2005,141,4
1265,384,2,28626,141,8,24,2015,164,5
1298,79,4,1246,598,10,24,2008,106,7
2897,210,2,8593,293,8,22,2017,16,1
2707,74,3,23486,523,4,27,2005,103,4
1429,202,3,21575,649,9,46,2019,168,6
1203,353,8,18632,505,7,19,2006,76,2
455,374,6,26663,332,2,8,2000,186,7
1047,154,1,5489,373,2,50,2005,103,7
2321,368,3,12322,545,5,6,2009,181,5
2713,115,3,4304,95,9,21,2012,175,1
2652,344,7,26911,383,9,49,2016,107,2
2361,206,4,4832,351,7,44,2012,11,6
79,7,6,28942,185,2,50,2009,50,1
2237,367,9,7367,346,3,41,2007,53,7
1394,166,10,20629,296,3,5,2012,141,4
2686,22,10,3700,515,2,19,2000,154,7
1519,318,3,3391,523,8,23,2019,95,5
1427,299,8,1911,319,7,31,2012,40,1
753,362,7,20143,280,5,23,2019,40,6
1936,33,6,7686,218,4,16,2003,191,2
1830,418,2,16764,334,9,13,2001,57,2
2141,209,10,3210,578,5,22,2001,167,6
2558,402,2,4704,639,8,25,2015,194,2
2580,92,8,20865,356,9,22,2017,180,4
2733,103,3,9293,176,10,12,2009,4,4
2441,103,10,8641,557,9,9,2005,54,2
1421,441,8,25046,258,3,48,2020,107,6
1614,430,3,9625,252,6,6,2019,87,1
794,386,10,25824,491,3,47,2019,195,4
2930,311,9,14548,93,7,48,2018,127,5
1256,135,1,28676,281,3,9,2014,151,2
654,135,6,27699,594,5,24,2001,182,7
2606,313,6,25346,291,10,7,2021,146,2
2295,14,6,23216,76,10,41,2009,47,7
482,50,2,4158,681,5,47,2014,38,2
2221,436,9,2895,671,5,1,2018,33,6
2222,64,2,4378,613,7,32,2003,24,3
1440,300,4,19484,573,10,16,2003,41,3
740,8,4,11776,619,5,45,2021,163,3
1567,269,10,1567,521,4,34,2013,11,5
1616,129,2,8130,241,10,15,2008,159,1
1921,252,3,3917,86,10,37,2004,187,7
257,280,5,28255,476,5,42,2008,18,3
2292,12,2,12891,267,4,13,2019,119,2
2142,238,6,13548,360,9,8,2000,142,6
2216,428,9,16709,294,4,7,2011,165,1
1193,280,5,11713,387,3,22,2021,171,5
1281,87,2,6203,427,2,46,2020,3,1
1320,165,5,27397,643,6,3,2010,89,4
126,94,4,11707,212,4,35,2011,107,7
588,404,10,9609,320,2,9,2017,113,3
303,221,8,20467,382,5,28,2004,152,4
2151,239,6,28457,529,9,4,2001,144,2
2871,291,5,29597,381,5,11,2009,80,1
455,406,9,22247,666,1,34,2019,90,4
987,338,10,4544,270,3,47,2020,200,1
163,260,2,24590,115,3,25,2013,181,3
991,423,5,24844,310,9,25,2017,81,3
1546,429,5,15047,269,10,9,2008,75,2
2661,140,8,25769,231,7,17,2016,121,1
480,196,5,7946,151,8,50,2011,168,7
2462,289,6,21911,386,4,49,2012,125,1
6,236,2,5959,234,4,15,2001,68,7
2847,444,9,25900,603,1,39,2011,118,3
301,404,1,2490,383,4,18,2007,138,4
2530,123,8,8549,182,2,34,2001,71,2
154,144,8,4001,312,6,18,2008,82,4
2989,407,6,13000,554,7,35,2007,146,4
539,348,8,18669,212,7,26,2009,60,6
1961,272,4,6555,243,8,22,2020,1,4
827,266,6,27199,75,2,25,2005,91,4
2157,357,3,17323,105,5,38,2013,93,2
1924,75,1,11159,310,3,42,2019,114,4
1225,108,1,29423,575,6,41,2004,66,3
1832,190,9,8472,577,9,28,2010,185,6
2652,216,3,181,331,10,19,2014,130,2
2130,96,10,27332,238,3,8,2010,143,4
2153,118,1,8001,388,1,36,2005,138,2
571,76,8,10492,214,7,10,2010,112,2
2216,56,5,1892,130,10,45,2014,46,1
1769,201,1,21984,406,7,28,2000,183,6
748,245,2,921,435,8,7,2011,102,7
1475,341,3,18261,534,9,11,2021,172,5
1272,371,6,18430,387,5,7,2003,154,4
890,29,7,28149,530,5,18,2009,54,7
1191,312,2,3739,547,6,31,2009,105,4
1891,417,3,10540,643,4,28,2016,141,4
2199,232,4,14389,543,2,38,2013,155,5
2664,391,6,6317,150,8,26,2019,117,7
2389,246,2,7856,156,4,22,2019,154,4
2103,241,4,25704,588,6,27,2015,171,6
1993,243,5,17370,168,1,23,2019,98,5
2085,160,4,17326,517,4,26,2007,51,2
2132,151,9,7550,540,6,7,2021,104,2
2080,193,9,21854,150,9,34,2001,175,4
2873,371,8,23373,477,8,35,2001,33,1
1638,355,4,21208,522,2,4,2016,198,5
1547,58,1,17068,638,6,50,2005,80,7
796,48,1,7366,154,2,33,2013,33,3
1720,204,4,21637,284,9,44,2019,182,5
515,309,9,22243,297,2,21,2003,182,1
2921,154,10,27681,515,3,32,2020,62,3
2650,396,4,11136,80,2,26,2006,139,4
2458,182,2,28439,190,1,6,2008,70,5
245,124,6,29759,495,10,3,2005,56,7
2417,222,2,24716,155,6,18,2003,5,6
1816,107,1,19014,226,3,10,2007,174,5
1509,151,6,8811,160,6,25,2011,137,6
1498,150,10,21033,358,8,2,2018,48,2
1064,137,10,28427,185,8,16,2021,35,3
2893,228,3,1552,168,10,5,2010,154,1
1585,49,7,13056,265,5,50,2014,176,5
2276,374,10,3727,98,4,28,2010,28,7
1685,110,5,23553,283,10,15,2009,155,5
2407,367,5,271,227,6,6,2017,59,2
1899,228,6,26078,674,7,12,2013,164,6
928,351,2,3991,246,6,43,2016,85,3
2429,322,4,2304,308,8,13,2012,15,7
2992,130,3,20657,698,4,42,2014,47,1
1688,233,10,29836,592,1,15,2020,67,5
2981,26,9,21768,582,4,4,2021,30,3
957,70,2,12001,296,9,21,2006,189,7
2337,159,2,8720,320,4,36,2018,151,2
102,447,10,14487,491,7,49,2003,186,2
726,257,5,23488,591,6,11,2006,197,5
739,113,3,23489,687,6,18,2012,101,2
2496,89,2,11480,167,2,28,2013,176,2
842,182,8,3802,372,4,13,2008,56,5
619,349,7,26338,647,5,38,2015,55,2
1616,283,9,25754,561,9,26,2008,110,7
322,418,6,15431,325,6,4,2003,200,7
1819,216,5,22296,265,8,33,2013,7,2
1710,246,3,26579,279,3,30,2002,179,1
2546,156,7,17102,672,9,6,2014,149,3
1732,147,4,338,261,8,8,2011,161,4
1930,95,4,11255,544,3,38,2003,135,4
2185,180,5,19123,275,4,17,2021,108,6
1044,54,10,26125,627,5,8,2015,194,3
583,87,4,15863,134,1,12,2017,4,2
2207,365,3,6556,130,1,42,2007,119,4
1502,268,2,5657,467,4,25,2004,98,3
2687,187,2,22067,495,2,27,2002,18,5
732,232,1,9355,240,9,47,2019,59,4
843,405,5,19549,292,1,28,2011,133,7
2291,281,2,8406,693,10,45,2010,65,4
2899,337,6,25360,481,7,9,2019,29,2
2837,57,6,4066,593,6,4,2006,51,4
1476,289,2,4400,569,2,44,2010,151,1
1035,245,2,5645,320,5,25,2014,26,6
2167,330,1,12659,187,9,34,2008,97,7
488,404,7,6063,334,2,1,2016,89,5
2562,101,10,20105,537,7,10,2015,16,6
92,13,6,16354,379,10,42,2004,33,5
1416,351,2,29139,450,5,33,2004,137,2
2476,264,10,28538,654,1,9,2010,88,3
1093,331,10,17179,318,9,10,2007,168,6
946,235,10,20907,310,2,26,2018,48,3
895,270,9,20858,381,4,39,2003,73,2
656,102,1,7005,313,2,19,2014,45,6
1036,221,4,10616,521,5,42,2020,157,6
2342,195,7,29571,380,1,46,2014,127,7
1371,46,10,2526,387,9,43,2018,150,4
1675,217,8,1104,348,3,24,2017,167,1
1669,366,4,6883,409,10,25,2006,134,5
202,411,1,27371,596,3,34,2008,115,6
640,40,9,7376,506,6,23,2017,187,1
494,32,3,5026,562,4,5,2020,155,2
638,247,6,637,448,9,38,2005,32,5
2484,252,2,28,372,3,5,2012,53,2
2091,123,6,27047,406,2,37,2004,78,6
128,44,9,24221,194,7,2,2000,87,4
2780,309,3,9543,445,10,19,2017,172,6
671,442,4,29981,516,10,39,2006,114,1
340,397,3,29468,305,6,42,2005,6,7
731,92,2,902,584,7,14,2005,36,7
2608,235,6,21305,147,6,18,2001,109,1
2286,403,6,13308,290,6,50,2016,145,2
1108,71,2,5750,581,1,48,2012,60,1
2773,398,9,25479,335,2,7,2010,143,1
2176,71,10,6958,297,2,28,2015,137,3
291,205,4,11565,544,10,10,2018,102,3
2388,101,9,25333,438,3,42,2016,122,6
1258,284,7,12187,79,5,35,2002,183,5
1477,113,8,362,679,2,7,2014,58,4
2352,351,1,10738,94,8,36,2013,47,6
806,399,1,7106,224,8,33,2021,36,6
1551,336,6,2627,475,4,8,2020,142,6
1046,51,3,14871,264,8,8,2020,152,2
656,374,7,13487,192,1,30,2019,101,7
1931,129,8,28211,619,4,23,2008,41,2
2279,426,9,28511,465,7,3,2004,123,5
1383,280,9,12236,352,1,13,2006,111,5
874,375,3,18344,189,3,13,2005,160,5
2715,436,4,27940,200,1,28,2017,122,2
935,139,3,18564,248,2,45,2000,189,4
1293,256,4,5643,330,9,31,2014,118,4
2405,245,7,20314,603,10,31,2004,186,6
2642,227,9,17547,479,10,14,2011,114,5
742,141,10,11213,161,8,19,2021,69,3
1413,230,6,4447,285,2,28,2011,168,5
849,265,9,2836,575,7,35,2008,121,6
2418,181,3,18281,294,9,17,2012,154,7
1416,170,8,21429,577,10,19,2017,35,3
1025,124,5,9673,451,3,6,2014,93,7
671,180,5,5107,171,10,40,2007,3,3
1802,183,5,19849,141,1,35,2015,173,2
2554,80,6,28168,617,9,41,2009,4,4
2126,163,9,122,436,6,38,2003,115,7
1706,119,6,19762,573,2,10,2021,199,3
491,37,5,4524,425,10,49,2003,194,7
2940,214,5,2115,668,6,17,2018,76,3
2327,344,10,1153,685,8,3,2009,71,5
2309,412,1,1292,217,2,7,2020,33,2
